state,city,latitude,longitude,avg_rating,review_count,restaurant_count,success_score
PA,Philadelphia,39.9555052,-75.1555641,3.5321559480173277,175487,3001,42.65193435551765
FL,Tampa,27.890814,-82.5023464,3.5714285714285716,104376,1715,41.27058794159365
IN,Indianapolis,39.6371332838,-86.127217412,3.412110523221634,92639,1701,39.0225211072609
AZ,Tucson,32.3385723,-111.0107602,3.386187455954898,91613,1419,38.68834087981859
TN,Nashville,36.2081024,-86.7681696,3.4935897435897436,87070,1404,39.73776372076268
LA,New Orleans,29.963974,-90.0426042,3.6936758893280635,69239,1012,41.16725150862309
MO,Saint Louis,38.5832229,-90.4071872,3.4143033292231815,51490,811,37.042331008308985
NV,Reno,39.476518,-119.7840369,3.4796264855687604,48393,589,37.535187141767295
AB,Edmonton,53.436403,-113.604288,3.509379042690815,45916,1546,37.67174762689446
ID,Boise,43.6111922,-116.2062753,3.5588235294117645,36104,561,37.3469583325035
